Price,Close,High,Low,Open,Volume
Ticker,BEL.NS,BEL.NS,BEL.NS,BEL.NS,BEL.NS
Date,,,,,
2012-01-02,10.757936477661133,10.93730810375916,10.666858300644368,10.778219630865577,1220472
2012-01-03,11.044294357299805,11.187871559035488,10.746799361241878,10.976284064319463,910008
2012-01-04,11.253098487854004,11.35571136451063,10.950036252453096,10.950036252453096,2594493
2012-01-05,11.224859237670898,11.279346928005184,11.104350668016846,11.136167760193631,2890008
2012-01-06,11.186676979064941,11.311163611231706,10.978272267959067,11.2073589129648,1299870
2012-01-09,11.43883228302002,11.565704867569039,11.13577009703305,11.136167378843586,2407680
2012-01-10,11.488548278808594,11.62934150943227,11.374800253741022,11.438833225009773,1932183
2012-01-11,11.699736595153809,12.014730748420583,11.470251905423154,11.532296959344638,2196909
2012-01-12,11.648031234741211,11.81228957824546,11.557748400119886,11.81228957824546,1283535
2012-01-13,12.091891288757324,12.166662892452889,11.820248865797717,11.820248865797717,10851489
2012-01-16,11.935983657836914,12.063253533555862,11.836156269275543,11.867974113707964,6820110
2012-01-17,12.01831340789795,12.210014311692186,11.971382325432668,12.130470816942655,2515392
2012-01-18,11.928030014038086,12.153935451834034,11.732749075725001,11.931610056929713,863973
2012-01-19,11.882290840148926,12.171035871394887,11.788827474537392,12.105014991924975,1795959
2012-01-20,11.673490524291992,12.10660816205969,11.541844517537877,12.05092711242985,4376097
2012-01-23,11.652010917663574,11.811496666042588,11.629341070276935,11.810303318547147,21287376
2012-01-24,11.587183952331543,11.848088496391739,11.533889602866253,11.848088496391739,4397778
2012-01-25,11.38116455078125,11.664738930169696,11.224860051336135,11.653204989342806,4678839
2012-01-27,11.409002304077148,11.728769829852922,11.319118239494298,11.38076450628866,7253235
2012-01-30,11.042306900024414,11.60428576254344,10.98026258672977,11.286109546594735,4742397
2012-01-31,11.178325653076172,11.374003839583372,11.056623741848734,11.057021023653583,6508854
2012-02-01,11.042132377624512,11.358583070048638,10.943591696488319,11.104221221111098,8898516
2012-02-02,11.309313774108887,11.35217524537067,10.975637833010026,10.975637833010026,2880009
2012-02-03,11.457524299621582,11.679440148467515,11.256838742454638,11.407853828124646,3248586
2012-02-06,11.764761924743652,11.808023521725918,11.297696275149049,11.297696275149049,3207006
2012-02-07,11.875319480895996,12.033144323759846,11.616550910536198,11.616550910536198,10230858
2012-02-08,12.297922134399414,12.36882289961739,11.93740880737439,12.049168127849093,20086308
2012-02-09,12.375633239746094,12.694087639051359,12.306334500599379,12.327965679430152,4753683
2012-02-10,12.270280838012695,12.719720329476647,12.218606702820127,12.719720329476647,4707351
2012-02-13,12.313140869140625,12.417689520996246,12.270280165214313,12.27388510856405,3108402
2012-02-14,12.247452735900879,12.45775202344002,12.16934131262477,12.45775202344002,4160277
2012-02-15,12.147706985473633,12.377634479787435,12.033143745612382,12.329566040432205,33524568
2012-02-16,12.14450454711914,12.468165919544163,12.137293902060138,12.22541913383758,2533410
2012-02-17,11.993486404418945,12.428104464499905,11.947019999848623,12.177347595494359,4326300
2012-02-21,11.933402061462402,12.216605727841337,11.880926906664783,12.216605727841337,9758232
2012-02-22,11.977066040039062,12.160527149241261,11.888939295203388,11.937008497512648,9610128
2012-02-23,12.199381828308105,13.122696802642782,12.0972361996931,12.0972361996931,13890393
2012-02-24,11.759552955627441,12.377633622201724,11.632972236503683,12.199380279835884,32773851
2012-02-27,11.9562349319458,12.016320862797775,11.696664588075073,11.817637464416503,11494494
2012-02-28,12.535861015319824,12.581125528353585,12.017121965669952,12.017121965669952,7401141
2012-02-29,12.962067604064941,13.162752386169615,12.535859780867378,12.535859780867378,12570624
2012-03-01,12.76659107208252,13.699519853713786,12.65843744171191,12.738150888695674,5155821
